,Quarter,Time,Tm,Detail,MIN,NYG
0,1.0,,Giants,Brad Daluiso 25 yard field goal,0,3
1,2.0,,Vikings,David Palmer 69 yard punt return (Scott Sisson kick),7,3
2,2.0,,Giants,Brad Daluiso 27 yard field goal,7,6
3,3.0,,Giants,Aaron Pierce 1 yard rush (pass failed),7,12
4,4.0,,Vikings,Scott Sisson 28 yard field goal,10,12
5,4.0,,Giants,Brad Daluiso 18 yard field goal,10,15
