,Quarter,Tm,Detail,TAM,MIN
0,1.0,Vikings,Ted Brown 1 yard rush (Benny Ricardo kick),0,7
1,2.0,Vikings,"Safety, blocked punt out of end zone",0,9
2,2.0,Buccaneers,David Logan 54 yard defensive fumble return (Bill Capece kick),7,9
3,3.0,Buccaneers,James Wilder 75 yard rush (Bill Capece kick),14,9
4,4.0,Buccaneers,Bill Capece 29 yard field goal,17,9
5,4.0,Vikings,Benny Ricardo 21 yard field goal,17,12
