,Quarter,Tm,Detail,SFO,GNB
0,1.0,Packers,Boyd Dowler 11 yard pass from Bart Starr (Jerry Kramer kick),0,7
1,2.0,Packers,Ron Kramer 21 yard pass from Elijah Pitts (Jerry Kramer kick),0,14
2,2.0,49ers,Tommy Davis 32 yard field goal,3,14
3,2.0,Packers,Jim Taylor 34 yard rush (Jerry Kramer kick),3,21
4,2.0,Packers,Elijah Pitts 14 yard rush (Jerry Kramer kick),3,28
5,4.0,49ers,Kay McFarland 11 yard pass from Lamar McHan (Tommy Davis kick),10,28
