,Quarter,Tm,Detail,PHI,PIT
0,2.0,Steelers,Lou Michaels 10 yard field goal,0,3
1,2.0,Eagles,Pete Retzlaff 24 yard pass from King Hill (Mike Clark kick),7,3
2,2.0,Eagles,Timmy Brown 14 yard rush (Mike Clark kick),14,3
3,3.0,Eagles,Mike Clark 23 yard field goal,17,3
4,4.0,Steelers,Gary Ballman 57 yard pass from Ed Brown (Lou Michaels kick),17,10
5,4.0,Eagles,Mike Clark 40 yard field goal,20,10
6,4.0,Steelers,Gary Ballman 8 yard pass from Ed Brown (Lou Michaels kick),20,17
7,4.0,Steelers,Lou Michaels 24 yard field goal,20,20
