,Quarter,Tm,Detail,CHI,NOR
0,1.0,Saints,Archie Manning 4 yard rush (Happy Feller kick),0,7
1,3.0,Bears,Mirro Roder 17 yard field goal,3,7
2,3.0,Saints,Howard Stevens 2 yard rush (Happy Feller kick),3,14
3,4.0,Bears,Mirro Roder 40 yard field goal,6,14
4,4.0,Bears,Mirro Roder 28 yard field goal,9,14
5,4.0,Saints,Archie Manning 4 yard rush (Happy Feller kick),9,21
6,4.0,Bears,Jim Harrison 13 yard pass from Bobby Douglass (Mirro Roder kick),16,21
