,Quarter,Time,Tm,Detail,IND,PIT
0,1.0,,Steelers,Norm Johnson 29 yard field goal,0,3
1,1.0,,Steelers,Kordell Stewart 1 yard rush (Norm Johnson kick),0,10
2,2.0,,Steelers,Norm Johnson 50 yard field goal,0,13
3,2.0,,Colts,Eugene Daniel 59 yard interception return (Cary Blanchard kick),7,13
4,2.0,,Colts,Aaron Bailey 9 yard pass from Jim Harbaugh (Cary Blanchard kick),14,13
5,3.0,,Steelers,Jerome Bettis 1 yard rush (John Farquhar pass from Kordell Stewart),14,21
6,4.0,,Steelers,Jerome Bettis 1 yard rush (Norm Johnson kick),14,28
7,4.0,,Steelers,Jon Witman 31 yard rush (Norm Johnson kick),14,35
8,4.0,,Steelers,Kordell Stewart 3 yard rush (Norm Johnson kick),14,42
