,Quarter,Tm,Detail,GNB,MIN
0,1.0,Packers,Brent Fullwood 2 yard rush,6,0
1,1.0,Packers,Max Zendejas 37 yard field goal,9,0
2,2.0,Packers,Keith Woodside 6 yard rush (Max Zendejas kick),16,0
3,2.0,Vikings,Leo Lewis 46 yard pass from Wade Wilson (Chuck Nelson kick),16,7
4,3.0,Packers,Max Zendejas 22 yard field goal,19,7
5,3.0,Packers,"Safety, T. Harris tackled Wilson in end zone",21,7
6,3.0,Packers,Max Zendejas 36 yard field goal,24,7
7,4.0,Vikings,Allen Rice 3 yard rush (Chuck Nelson kick),24,14
8,4.0,Packers,Max Zendejas 45 yard field goal,27,14
9,4.0,Packers,Tim Harris 10 yard blocked punt return (Max Zendejas kick),34,14
