,Quarter,Time,Tm,Detail,CLE,HOU
0,1.0,9:51,Browns,Phil Dawson 45 yard field goal,3,0
1,1.0,4:48,Texans,Jonathan Wells 6 yard pass from David Carr (Kris Brown kick),3,7
2,2.0,11:28,Browns,Phil Dawson 22 yard field goal,6,7
3,2.0,2:00,Browns,Phil Dawson 29 yard field goal,9,7
4,3.0,5:24,Browns,Steve Heiden 9 yard pass from Kelly Holcomb (Phil Dawson kick),16,7
5,4.0,14:09,Browns,Phil Dawson 45 yard field goal,19,7
6,4.0,4:01,Browns,Phil Dawson 22 yard field goal,22,7
7,4.0,1:23,Texans,Domanick Williams 1 yard rush (Kris Brown kick),22,14
