,Quarter,Tm,Detail,WAS,PHO
0,1.0,Redskins,Ricky Sanders 19 yard pass from Mark Rypien (Chip Lohmiller kick),7,0
1,1.0,Redskins,Earnest Byner 9 yard rush (Chip Lohmiller kick),14,0
2,2.0,Redskins,Chip Lohmiller 33 yard field goal,17,0
3,3.0,Cardinals,Ivory Lee Brown 1 yard rush,17,6
4,3.0,Redskins,Earnest Byner 3 yard rush (Chip Lohmiller kick),24,6
5,4.0,Cardinals,Robert Massey 31 yard interception return (Greg Davis kick),24,13
6,4.0,Cardinals,Robert Massey 41 yard interception return (Greg Davis kick),24,20
7,4.0,Cardinals,Larry Centers 9 yard pass from Chris Chandler (Greg Davis kick),24,27
