,Quarter,Tm,Detail,GNB,NYG
0,1.0,Giants,Don Herrmann 17 yard pass from Norm Snead (Pete Gogolak kick),0,7
1,1.0,Packers,Jon Staggers 20 yard rush (Chester Marcol kick),7,7
2,3.0,Packers,Chester Marcol 20 yard field goal,10,7
3,3.0,Packers,Chester Marcol 11 yard field goal,13,7
4,4.0,Giants,Bob Grim 10 yard pass from Norm Snead (Pete Gogolak kick),13,14
5,4.0,Packers,Chester Marcol 32 yard field goal,16,14
