,Quarter,Tm,Detail,KAN,OAK
0,1.0,Raiders,Mark van Eeghen 3 yard rush (Errol Mann kick),0,7
1,2.0,Raiders,Dave Casper 4 yard pass from Ken Stabler (Errol Mann kick),0,14
2,4.0,Raiders,Mark van Eeghen 1 yard rush (Errol Mann kick),0,21
3,4.0,Raiders,Charlie Phillips 42 yard interception return (Errol Mann kick),0,28
4,4.0,Chiefs,Larry Dorsey 16 yard pass from Tony Adams,6,28
