,Quarter,Tm,Detail,DEN,SEA
0,1.0,Broncos,Fred Steinfort 30 yard field goal,3,0
1,1.0,Seahawks,Dennis Boyd 3 yard pass from Jim Zorn (Efren Herrera kick),3,7
2,2.0,Seahawks,Efren Herrera 43 yard field goal,3,10
3,2.0,Broncos,Riley Odoms 11 yard pass from Craig Morton (Fred Steinfort kick),10,10
4,3.0,Seahawks,Efren Herrera 22 yard field goal,10,13
