,Quarter,Tm,Detail,WAS,CIN
0,1.0,Redskins,Chip Lohmiller 40 yard field goal,3,0
1,1.0,Bengals,James Brooks 5 yard rush (Jim Breech kick),3,7
2,2.0,Redskins,Gerald Riggs 1 yard rush (Chip Lohmiller kick),10,7
3,2.0,Bengals,Jim Breech 46 yard field goal,10,10
4,2.0,Redskins,Gerald Riggs 1 yard rush (Chip Lohmiller kick),17,10
5,2.0,Redskins,Brian Mitchell 66 yard punt return (Chip Lohmiller kick),24,10
6,3.0,Redskins,Chip Lohmiller 26 yard field goal,27,10
7,3.0,Bengals,Craig Taylor 1 yard rush (Jim Breech kick),27,17
8,3.0,Bengals,Craig Taylor 34 yard rush (Jim Breech kick),27,24
9,4.0,Bengals,Jim Breech 25 yard field goal,27,27
10,4.0,Redskins,Gerald Riggs 7 yard rush (Chip Lohmiller kick),34,27
