,Quarter,Time,Tm,Detail,SFO,NOR
0,1,13:01,49ers,Frank Gore 4 yard rush (Phil Dawson kick),7,0
1,1,4:17,49ers,Carlos Hyde 9 yard rush (Phil Dawson kick),14,0
2,1,0:03,Saints,Shayne Graham 40 yard field goal,14,3
3,2,9:13,Saints,Brandin Cooks 31 yard pass from Drew Brees (Shayne Graham kick),14,10
4,2,4:45,49ers,Anquan Boldin 15 yard pass from Colin Kaepernick (Phil Dawson kick),21,10
5,3,2:49,Saints,Jimmy Graham 11 yard pass from Drew Brees (Shayne Graham kick),21,17
6,4,1:52,Saints,Jimmy Graham 2 yard pass from Drew Brees (Shayne Graham kick),21,24
7,4,0:44,49ers,Phil Dawson 45 yard field goal,24,24
8,OT,5:14,49ers,Phil Dawson 35 yard field goal,27,24
