,Quarter,Time,Tm,Detail,SEA,BUF
0,2.0,,Seahawks,Chris Warren 3 yard rush (Todd Peterson kick),7,0
1,2.0,,Bills,Bill Brooks 28 yard pass from Jim Kelly (Steve Christie kick),7,7
2,2.0,,Bills,Steve Christie 43 yard field goal,7,10
3,3.0,,Bills,Lonnie Johnson 2 yard pass from Jim Kelly (Steve Christie kick),7,17
4,3.0,,Bills,Bill Brooks 30 yard pass from Jim Kelly (Steve Christie kick),7,24
5,3.0,,Seahawks,Joey Galloway 54 yard pass from Rick Mirer (Todd Peterson kick),14,24
6,4.0,,Bills,Steve Christie 26 yard field goal,14,27
7,4.0,,Seahawks,Chris Warren 4 yard rush (Todd Peterson kick),21,27
