,Quarter,Tm,Detail,NYJ,BAL
0,1.0,Colts,Reese McCall 17 yard pass from Greg Landry (Steve Mike-Mayer kick),0,7
1,1.0,Colts,Steve Mike-Mayer 41 yard field goal,0,10
2,2.0,Jets,Pat Leahy 18 yard field goal,3,10
3,3.0,Jets,Pat Leahy 31 yard field goal,6,10
4,4.0,Jets,"Safety, Moresco forced Dilts out of end zone",8,10
