,Quarter,Tm,Detail,WAS,BAL
0,1.0,Redskins,Leroy Jackson 85 yard pass from Norm Snead (Bob Khayat kick),7,0
1,2.0,Colts,Jimmy Orr 11 yard pass from Johnny Unitas (Wendell Harris kick),7,7
2,2.0,Colts,Jimmy Orr 59 yard pass from Johnny Unitas (Wendell Harris kick),7,14
3,2.0,Redskins,Fred Dugan 17 yard pass from Norm Snead (Bob Khayat kick),14,14
4,3.0,Redskins,Fred Dugan 20 yard pass from Norm Snead (Bob Khayat kick),21,14
5,4.0,Colts,Dick Bielski 11 yard pass from Johnny Unitas,21,20
6,4.0,Colts,Jimmy Orr 23 yard pass from Johnny Unitas (Dick Bielski kick),21,27
7,4.0,Colts,Alex Hawkins 2 yard rush (Dick Bielski kick),21,34
