,Quarter,Tm,Detail,PIT,CRD
0,1.0,Cardinals,George Grosvenor 9 yard rush (Clarence Kellogg kick),0,7
1,2.0,Cardinals,Bill Smith 38 yard pass from Pug Vaughan (Clarence Kellogg kick),0,14
2,2.0,Pirates,Warren Heller 48 yard pass from Ed Matesic,6,14
