,Quarter,Tm,Detail,PHI,HOU
0,2.0,Oilers,Al Del Greco 42 yard field goal,0,3
1,3.0,Eagles,Roger Ruzek 23 yard field goal,3,3
2,3.0,Eagles,Keith Jackson 21 yard pass from Jeff Kemp (Roger Ruzek kick),10,3
3,3.0,Oilers,Al Del Greco 47 yard field goal,10,6
4,4.0,Eagles,Roger Ruzek 29 yard field goal,13,6
