,Quarter,Tm,Detail,CIN,BUF
0,2.0,Bills,Tom Dempsey 18 yard field goal,0,3
1,2.0,Bengals,Pete Johnson 1 yard rush (Chris Bahr kick),7,3
2,2.0,Bills,Terry Miller 2 yard rush (Tom Dempsey kick),7,10
3,2.0,Bengals,Chris Bahr 24 yard field goal,10,10
4,3.0,Bills,Roland Hooks 3 yard rush (Tom Dempsey kick),10,17
5,3.0,Bills,Isiah Robertson 23 yard interception return (Tom Dempsey kick),10,24
6,3.0,Bengals,Billy Brooks 73 yard pass from Ken Anderson (Chris Bahr kick),17,24
7,3.0,Bills,Roland Hooks 32 yard rush (Tom Dempsey kick),17,31
8,4.0,Bills,Roland Hooks 4 yard rush (Tom Dempsey kick),17,38
9,4.0,Bills,Roland Hooks 28 yard rush,17,44
10,4.0,Bills,Lucius Sanford 3 yard blocked punt return (Tom Dempsey kick),17,51
11,4.0,Bengals,Jack Thompson 5 yard rush (Chris Bahr kick),24,51
