,Quarter,Tm,Detail,SFO,CHI
0,1.0,Bears,Bill Wightkin fumble recovery in end zone (George Blanda kick),0,7
1,1.0,Bears,Billy Stone 12 yard pass from George Blanda (George Blanda kick),0,14
2,1.0,Bears,Ed Sprinkle 21 yard blocked punt return (George Blanda kick),0,21
3,1.0,49ers,Joe Perry 51 yard rush (Gordie Soltau kick),7,21
4,3.0,49ers,Joe Arenas 60 yard rush (Gordie Soltau kick),14,21
5,3.0,49ers,Billy Wilson 22 yard pass from Jim Powers (Gordie Soltau kick),21,21
6,4.0,49ers,Joe Perry 2 yard rush (Gordie Soltau kick),28,21
7,4.0,49ers,Joe Perry 3 yard rush (Gordie Soltau kick),35,21
8,4.0,Bears,Fred Morrison 4 yard rush (George Blanda kick),35,28
