,Quarter,Tm,Detail,WAS,STL
0,2,Cardinals,Jim Bakken 20 yard field goal,0,3
1,2,Redskins,Charley Taylor 36 yard pass from Randy Johnson (Mark Moseley kick),7,3
2,3,Redskins,Mike Thomas 9 yard pass from Randy Johnson (Mark Moseley kick),14,3
3,4,Cardinals,J.V. Cain 8 yard pass from Jim Hart (Jim Bakken kick),14,10
4,4,Redskins,Mark Moseley 42 yard field goal,17,10
5,4,Cardinals,Mel Gray 6 yard pass from Jim Hart (Jim Bakken kick),17,17
6,OT,Cardinals,Jim Bakken 37 yard field goal,17,20
