,Quarter,Time,Tm,Detail,DAL,ARI
0,1.0,,Cowboys,Kevin Williams 25 yard pass from Troy Aikman (Chris Boniol kick),7,0
1,1.0,,Cowboys,Brock Marion 32 yard interception return (Chris Boniol kick),14,0
2,1.0,,Cowboys,Chris Boniol 39 yard field goal,17,0
3,2.0,,Cowboys,Kevin Williams 48 yard pass from Troy Aikman (Chris Boniol kick),24,0
4,2.0,,Cardinals,Greg Davis 21 yard field goal,24,3
5,3.0,,Cardinals,Aeneas Williams 48 yard interception return (Greg Davis kick),24,10
6,3.0,,Cardinals,Greg Davis 23 yard field goal,24,13
7,3.0,,Cowboys,Chris Boniol 23 yard field goal,27,13
8,4.0,,Cowboys,Emmitt Smith 3 yard rush (Chris Boniol kick),34,13
9,4.0,,Cowboys,Chris Boniol 24 yard field goal,37,13
