,Quarter,Tm,Detail,NOR,STL
0,1.0,Cardinals,Jim Bakken 24 yard field goal,0,3
1,1.0,Saints,Tony Lorick 9 yard pass from Billy Kilmer (Charlie Durkee kick),7,3
2,3.0,Cardinals,Jackie Smith 65 yard pass from Jim Hart (Jim Bakken kick),7,10
3,3.0,Saints,Danny Abramowicz 19 yard pass from Billy Kilmer (Charlie Durkee kick),14,10
4,4.0,Saints,Charlie Durkee 32 yard field goal,17,10
5,4.0,Cardinals,Willis Crenshaw 1 yard rush (Jim Bakken kick),17,17
6,4.0,Cardinals,Dave Williams 53 yard pass from Jim Hart (Jim Bakken kick),17,24
7,4.0,Cardinals,Jim Hart 1 yard rush (Jim Bakken kick),17,31
