,Quarter,Tm,Detail,DAL,NYG
0,1.0,Giants,Stacy Robinson 5 yard pass from Phil Simms (Raul Allegre kick),0,7
1,1.0,Cowboys,Roger Ruzek 46 yard field goal,3,7
2,2.0,Cowboys,Thornton Chandler 1 yard pass from Danny White (Roger Ruzek kick),10,7
3,3.0,Giants,Mark Bavaro 1 yard pass from Phil Simms (Raul Allegre kick),10,14
4,3.0,Cowboys,Roger Ruzek 43 yard field goal,13,14
5,4.0,Cowboys,Roger Ruzek 28 yard field goal,16,14
