,Quarter,Tm,Detail,BOS,HOU
0,1.0,Patriots,Carl Garrett 3 yard rush (Gino Cappelletti kick),7,0
1,1.0,Patriots,Gino Cappelletti 10 yard field goal,10,0
2,1.0,Patriots,Gino Cappelletti 19 yard field goal,13,0
3,2.0,Patriots,Gino Cappelletti 27 yard field goal,16,0
4,2.0,Oilers,Alvin Reed 43 yard pass from Pete Beathard (Roy Gerela kick),16,7
5,3.0,Oilers,Woody Campbell 4 yard rush (Roy Gerela kick),16,14
6,3.0,Patriots,Charley Frazier 8 yard pass from Mike Taliaferro (Gino Cappelletti kick),23,14
7,4.0,Oilers,Roy Gerela 13 yard field goal,23,17
8,4.0,Oilers,Jim Beirne 13 yard pass from Pete Beathard (Roy Gerela kick),23,24
9,4.0,Oilers,Roy Gerela 19 yard field goal,23,27
