,Quarter,Time,Tm,Detail,NYG,WAS
0,2,,Redskins,Gus Frerotte 1 yard rush (Scott Blanton kick),0,7
1,3,,Giants,Chris Calloway 4 yard pass from Danny Kanell (Brad Daluiso kick),7,7
