,Quarter,Time,Tm,Detail,MIN,STL
0,1.0,8:56,Rams,Marshall Faulk 1 yard rush (Jeff Wilkins kick),0,7
1,1.0,4:54,Rams,Marshall Faulk 1 yard rush (Jeff Wilkins kick),0,14
2,2.0,13:48,Rams,Jeff Wilkins 26 yard field goal,0,17
3,2.0,7:14,Vikings,Johnny McWilliams 22 yard pass from Daunte Culpepper (Gary Anderson kick),7,17
4,2.0,1:11,Rams,Jeff Wilkins 19 yard field goal,7,20
5,3.0,11:20,Vikings,Daunte Culpepper 8 yard rush (Gary Anderson kick),14,20
6,3.0,8:19,Rams,Marshall Faulk 5 yard rush (pass failed),14,26
7,3.0,4:36,Rams,Marshall Faulk 1 yard rush (Jeff Wilkins kick),14,33
8,3.0,0:32,Vikings,Cris Carter 2 yard pass from Daunte Culpepper (Gary Anderson kick),21,33
9,4.0,8:10,Rams,Justin Watson 6 yard rush (Jeff Wilkins kick),21,40
10,4.0,2:27,Vikings,Randy Moss 32 yard pass from Daunte Culpepper (Randy Moss pass from Daunte Culpepper),29,40
