,Quarter,Tm,Detail,DET,MIN
0,1.0,Vikings,Tommy Wilson 1 yard rush (Fred Cox kick),0,7
1,1.0,Vikings,Fred Cox 14 yard field goal,0,10
2,2.0,Lions,Terry Barr 10 yard pass from Earl Morrall (Wayne Walker kick),7,10
3,2.0,Vikings,Tommy Mason 9 yard rush (Fred Cox kick),7,17
4,2.0,Lions,Nick Pietrosante 4 yard rush (Wayne Walker kick),14,17
5,2.0,Lions,Gail Cogdill 22 yard pass from Earl Morrall (Wayne Walker kick),21,17
6,3.0,Lions,Earl Morrall 4 yard rush (Wayne Walker kick),28,17
7,3.0,Vikings,Gordie Smith 54 yard pass from Fran Tarkenton (Fred Cox kick),28,24
8,3.0,Vikings,Fred Cox 17 yard field goal,28,27
9,4.0,Lions,Wayne Walker 26 yard field goal,31,27
10,4.0,Vikings,Tommy Mason 2 yard rush (Fred Cox kick),31,34
