,Quarter,Tm,Detail,ATL,WAS
0,1.0,Redskins,Clint Didier 18 yard pass from Joe Theismann (Mark Moseley kick),0,7
1,2.0,Redskins,Mark Moseley 26 yard field goal,0,10
2,2.0,Redskins,Joe Washington 11 yard pass from Joe Theismann (Mark Moseley kick),0,17
3,2.0,Redskins,Mark Moseley 51 yard field goal,0,20
4,3.0,Redskins,Mel Kaufman 30 yard defensive fumble return (Mark Moseley kick),0,27
5,3.0,Redskins,Art Monk 10 yard pass from Joe Theismann (Mark Moseley kick),0,34
6,4.0,Falcons,Gerald Riggs 7 yard rush (Mick Luckhurst kick),7,34
7,4.0,Redskins,Mark Moseley 43 yard field goal,7,37
8,4.0,Falcons,Gerald Riggs 4 yard rush (Mick Luckhurst kick),14,37
9,4.0,Falcons,Lynn Cain 2 yard rush (Mick Luckhurst kick),21,37
