,Quarter,Time,Tm,Detail,SFO,CIN
0,1.0,5:27,Bengals,Chad Johnson 10 yard pass from Jon Kitna (Shayne Graham kick),0,7
1,2.0,13:03,Bengals,Kevin Hardy 10 yard defensive fumble return (Shayne Graham kick),0,14
2,2.0,11:30,49ers,Terrell Owens 58 yard pass from Jeff Garcia (Todd Peterson kick),7,14
3,2.0,7:29,49ers,Tai Streets 41 yard pass from Jeff Garcia (Todd Peterson kick),14,14
4,2.0,3:26,Bengals,Peter Warrick 31 yard pass from Jon Kitna (Shayne Graham kick),14,21
5,2.0,0:00,49ers,Todd Peterson 23 yard field goal,17,21
6,3.0,11:41,Bengals,Rudi Johnson 49 yard rush (Shayne Graham kick),17,28
7,3.0,1:52,Bengals,Shayne Graham 34 yard field goal,17,31
8,4.0,12:59,49ers,Jeff Garcia 6 yard rush (Todd Peterson kick),24,31
9,4.0,6:58,Bengals,Shayne Graham 30 yard field goal,24,34
10,4.0,3:49,49ers,Kevan Barlow 1 yard rush (Todd Peterson kick),31,34
11,4.0,2:18,Bengals,Rudi Johnson 3 yard rush (Shayne Graham kick),31,41
12,4.0,1:13,49ers,Kevan Barlow 3 yard rush (Todd Peterson kick),38,41
