,Quarter,Tm,Detail,PHI,DAL
0,1.0,Eagles,Bobby Walston 36 yard field goal,3,0
1,1.0,Eagles,Bobby Walston 9 yard field goal,6,0
2,2.0,Cowboys,Sam Baker 40 yard field goal,6,3
3,2.0,Cowboys,Amos Marsh 20 yard rush (Sam Baker kick),6,10
4,2.0,Cowboys,Frank Clarke 8 yard pass from Eddie LeBaron (Sam Baker kick),6,17
5,3.0,Cowboys,Frank Clarke 57 yard pass from Don Meredith (Sam Baker kick),6,24
6,4.0,Cowboys,Sam Baker 11 yard field goal,6,27
7,4.0,Eagles,King Hill 1 yard rush,12,27
8,4.0,Cowboys,Amos Marsh 101 yard kickoff return (Sam Baker kick),12,34
9,4.0,Eagles,Theron Sapp 5 yard rush (Bobby Walston kick),19,34
10,4.0,Cowboys,Mike Gaechter 100 yard interception return (Sam Baker kick),19,41
