,Quarter,Tm,Detail,NYG,BKN
0,1.0,Giants,Leo Cantor 1 yard rush (Ward Cuff kick),7,0
1,1.0,Dodgers,Perry Schwartz 71 yard pass from Hal McCullough (Merl Condit kick),7,7
2,2.0,Dodgers,Merl Condit 36 yard field goal,7,10
3,4.0,Dodgers,Pug Manders 2 yard rush (Merl Condit kick),7,17
