,Quarter,Tm,Detail,MIA,NYG
0,1.0,Giants,Raul Allegre 22 yard field goal,0,3
1,2.0,Giants,Ottis Anderson 1 yard rush (Raul Allegre kick),0,10
2,3.0,Dolphins,Pete Stoyanovich 51 yard field goal,3,10
3,4.0,Giants,Ottis Anderson 2 yard rush (Raul Allegre kick),3,17
4,4.0,Giants,Raul Allegre 45 yard field goal,3,20
