,Quarter,Tm,Detail,NYJ,CLE
0,2.0,Browns,Bobby Jones 32 yard pass from Brian Sipe (Matt Bahr kick),0,7
1,4.0,Jets,Bruce Harper 15 yard pass from Richard Todd (Pat Leahy kick),7,7
2,4.0,Browns,Matt Bahr 44 yard field goal,7,10
