,Quarter,Tm,Detail,HOU,BUF
0,1,Oilers,Haywood Jeffires 3 yard pass from Warren Moon (Al Del Greco kick),7,0
1,1,Bills,Steve Christie 36 yard field goal,7,3
2,2,Oilers,Webster Slaughter 7 yard pass from Warren Moon (Al Del Greco kick),14,3
3,2,Oilers,Curtis Duncan 26 yard pass from Warren Moon (Al Del Greco kick),21,3
4,2,Oilers,Haywood Jeffires 27 yard pass from Warren Moon (Al Del Greco kick),28,3
5,3,Oilers,Bubba McDowell 58 yard interception return (Al Del Greco kick),35,3
6,3,Bills,Kenneth Davis 1 yard rush (Steve Christie kick),35,10
7,3,Bills,Don Beebe 38 yard pass from Frank Reich (Steve Christie kick),35,17
8,3,Bills,Andre Reed 26 yard pass from Frank Reich (Steve Christie kick),35,24
9,3,Bills,Andre Reed 18 yard pass from Frank Reich (Steve Christie kick),35,31
10,4,Bills,Andre Reed 17 yard pass from Frank Reich (Steve Christie kick),35,38
11,4,Oilers,Al Del Greco 26 yard field goal,38,38
12,OT,Bills,Steve Christie 32 yard field goal,38,41
