,Quarter,Time,Tm,Detail,CLE,SEA
0,1.0,11:41,Seahawks,Itula Mili 2 yard pass from Matt Hasselbeck (Josh Brown kick),0,7
1,2.0,9:05,Seahawks,Josh Brown 36 yard field goal,0,10
2,2.0,4:41,Seahawks,Darrell Jackson 3 yard pass from Matt Hasselbeck (Josh Brown kick),0,17
3,3.0,8:49,Seahawks,Darrell Jackson 26 yard pass from Matt Hasselbeck (Josh Brown kick),0,24
4,3.0,2:36,Seahawks,Josh Brown 41 yard field goal,0,27
5,4.0,7:15,Seahawks,Shaun Alexander 3 yard rush (Josh Brown kick),0,34
6,4.0,3:23,Browns,Andre King 28 yard blocked punt return (Phil Dawson kick),7,34
