,Quarter,Time,Tm,Detail,CHI,MIA
0,1.0,7:30,Dolphins,Jed Weaver 5 yard pass from Jay Fiedler (Olindo Mare kick),0,7
1,2.0,4:12,Dolphins,Ricky Williams 15 yard rush (Olindo Mare kick),0,14
2,3.0,10:15,Bears,Paul Edinger 52 yard field goal,3,14
3,3.0,9:16,Dolphins,Ricky Williams 63 yard rush (Olindo Mare kick),3,21
4,4.0,7:26,Dolphins,Olindo Mare 23 yard field goal,3,24
5,4.0,5:41,Dolphins,Olindo Mare 29 yard field goal,3,27
6,4.0,0:44,Bears,Marty Booker 6 yard pass from Henry Burris (pass failed),9,27
