,Quarter,Time,Tm,Detail,DET,PHI
0,1.0,11:30,Eagles,Jake Elliott 25 yard field goal,0,3
1,1.0,11:28,Lions,Jamal Agnew 100 yard kickoff return (Matt Prater kick),7,3
2,1.0,6:19,Eagles,Jordan Howard 1 yard rush (Jake Elliott kick),7,10
3,2.0,14:12,Lions,Kerryon Johnson 1 yard rush (Matt Prater kick),14,10
4,2.0,3:32,Lions,Matt Prater 25 yard field goal,17,10
5,2.0,0:59,Lions,Matt Prater 33 yard field goal,20,10
6,3.0,4:23,Eagles,Nelson Agholor 20 yard pass from Carson Wentz (Jake Elliott kick),20,17
7,4.0,15:00,Lions,Marvin Jones 12 yard pass from Matthew Stafford (Matt Prater kick),27,17
8,4.0,7:03,Eagles,Nelson Agholor 2 yard pass from Carson Wentz (Jake Elliott kick),27,24
