,Quarter,Time,Tm,Detail,BAL,DET
0,1.0,10:57,Lions,Reggie Bush 14 yard rush (David Akers kick),0,7
1,2.0,12:49,Ravens,Justin Tucker 29 yard field goal,3,7
2,2.0,2:32,Ravens,Justin Tucker 24 yard field goal,6,7
3,2.0,0:00,Ravens,Justin Tucker 32 yard field goal,9,7
4,3.0,8:00,Ravens,Justin Tucker 49 yard field goal,12,7
5,3.0,1:49,Lions,David Akers 40 yard field goal,12,10
6,4.0,8:06,Ravens,Justin Tucker 53 yard field goal,15,10
7,4.0,2:21,Lions,Joseph Fauria 14 yard pass from Matthew Stafford (pass failed),15,16
8,4.0,0:38,Ravens,Justin Tucker 61 yard field goal,18,16
