,Quarter,Time,Tm,Detail,PHI,WAS
0,1.0,,Redskins,Darryl Pounds 18 yard defensive fumble return (Chris Jacke kick),0,7
1,1.0,,Redskins,Darrell Green 83 yard interception return (Chris Jacke kick),0,14
2,1.0,,Eagles,Jason Dunn 31 yard pass from Bobby Hoying (Chris Boniol kick),7,14
3,2.0,,Redskins,Stephen Davis 1 yard rush (Chris Jacke kick),7,21
4,2.0,,Eagles,Charlie Garner 9 yard rush (Chris Boniol kick),14,21
5,2.0,,Redskins,Larry Bowie 3 yard rush (Chris Jacke kick),14,28
6,3.0,,Eagles,Chris Boniol 33 yard field goal,17,28
7,4.0,,Eagles,Charlie Garner 1 yard rush (Freddie Solomon pass from Bobby Hoying),25,28
8,4.0,,Redskins,Michael Westbrook 7 yard pass from Jeff Hostetler (Chris Jacke kick),25,35
9,4.0,,Eagles,Freddie Solomon 14 yard pass from Bobby Hoying (Chris Boniol kick),32,35
