,Quarter,Tm,Detail,PHI,CRD
0,1.0,Cardinals,Charley Trippi 8 yard rush (Pat Harder kick),0,7
1,2.0,Cardinals,Mal Kutner 30 yard pass from Paul Christman (Pat Harder kick),0,14
2,2.0,Eagles,Bosh Pritchard 34 yard pass from Tommy Thompson (Cliff Patton kick),7,14
3,3.0,Eagles,Pete Pihos 42 yard pass from Tommy Thompson (Cliff Patton kick),14,14
4,4.0,Cardinals,Mal Kutner 64 yard pass from Charley Trippi (Pat Harder kick),14,21
