,Quarter,Tm,Detail,DAL,NYG
0,1.0,Cowboys,Jimmy Ridlon 74 yard interception return (Dick Van Raaphorst kick),7,0
1,1.0,Cowboys,Frank Clarke 14 yard pass from Don Meredith (Dick Van Raaphorst kick),14,0
2,2.0,Cowboys,Tommy McDonald 48 yard pass from Don Meredith (Dick Van Raaphorst kick),21,0
3,2.0,Giants,Frank Gifford 40 yard pass from Y.A. Tittle (Don Chandler kick),21,7
4,3.0,Giants,Frank Gifford 6 yard pass from Y.A. Tittle (Don Chandler kick),21,14
5,4.0,Cowboys,Frank Clarke 8 yard pass from Don Meredith (Dick Van Raaphorst kick),28,14
6,4.0,Giants,Alex Webster 2 yard rush (Andy Stynchula kick),28,21
7,4.0,Cowboys,Dick Van Raaphorst 43 yard field goal,31,21
