,Quarter,Tm,Detail,KAN,SDG
0,1.0,Chargers,Chuck Muncie 1 yard rush (Rolf Benirschke kick),0,7
1,1.0,Chiefs,James Hadnot 2 yard rush (Nick Lowery kick),7,7
2,2.0,Chargers,Chuck Muncie 4 yard rush,7,13
3,2.0,Chargers,Rolf Benirschke 29 yard field goal,7,16
4,2.0,Chargers,Rolf Benirschke 19 yard field goal,7,19
5,3.0,Chiefs,Billy Jackson 2 yard pass from Bill Kenney (Nick Lowery kick),14,19
6,4.0,Chiefs,Nick Lowery 21 yard field goal,17,19
7,4.0,Chiefs,Nick Lowery 32 yard field goal,20,19
8,4.0,Chargers,Rolf Benirschke 22 yard field goal,20,22
