,Quarter,Tm,Detail,BAL,MIN
0,1.0,Vikings,Sammy White 24 yard pass from Tommy Kramer (Rick Danmeier kick),0,7
1,2.0,Colts,Mike Wood 39 yard field goal,3,7
2,3.0,Colts,Jim Burroughs 94 yard interception return (Mike Wood kick),10,7
3,3.0,Vikings,Rick Danmeier 23 yard field goal,10,10
4,4.0,Vikings,Rick Danmeier 40 yard field goal,10,13
