,Quarter,Tm,Detail,RAM,NOR
0,1,Saints,Eric Martin 19 yard pass from Bobby Hebert (Morten Andersen kick),0,7
1,2,Saints,Morten Andersen 36 yard field goal,0,10
2,2,Rams,Mike Lansford 32 yard field goal,3,10
3,3,Saints,Eric Martin 35 yard pass from Dalton Hilliard (Morten Andersen kick),3,17
4,4,Rams,Buford McGee 5 yard rush (Mike Lansford kick),10,17
5,4,Rams,Flipper Anderson 15 yard pass from Jim Everett (Mike Lansford kick),17,17
6,OT,Rams,Mike Lansford 31 yard field goal,20,17
