,Quarter,Tm,Detail,OAK,KAN
0,2.0,Chiefs,Wendell Hayes 4 yard rush (Jan Stenerud kick),0,7
1,2.0,Raiders,Raymond Chester 3 yard pass from Daryle Lamonica (George Blanda kick),7,7
2,3.0,Raiders,Raymond Chester 8 yard pass from Daryle Lamonica (George Blanda kick),14,7
3,3.0,Chiefs,Jan Stenerud 33 yard field goal,14,10
4,4.0,Chiefs,Otis Taylor 13 yard pass from Len Dawson (Jan Stenerud kick),14,17
5,4.0,Raiders,George Blanda 48 yard field goal,17,17
