,Quarter,Tm,Detail,ATL,MIN
0,1.0,Vikings,Chuck Foreman 3 yard pass from Fran Tarkenton (Fred Cox kick),0,7
1,2.0,Vikings,Fred Cox 45 yard field goal,0,10
2,2.0,Vikings,Chuck Foreman 1 yard rush (Fred Cox kick),0,17
3,2.0,Vikings,Chuck Foreman 1 yard rush (Fred Cox kick),0,24
4,3.0,Vikings,Jim Lash 12 yard pass from Bob Lee (Fred Cox kick),0,31
5,4.0,Vikings,Dave Osborn 2 yard rush (Fred Cox kick),0,38
