,Quarter,Time,Tm,Detail,SDG,CHI
0,1.0,,Chargers,Andre Coleman 20 yard pass from Stan Humphries (John Carney kick),7,0
1,1.0,,Bears,Bobby Engram 7 yard pass from Dave Krieg (Jeff Jaeger kick),7,7
2,1.0,,Bears,Curtis Conway 7 yard pass from Dave Krieg (Jeff Jaeger kick),7,14
3,2.0,,Chargers,Leonard Russell 1 yard rush (John Carney kick),14,14
4,3.0,,Bears,Jeff Jaeger 45 yard field goal,14,17
5,4.0,,Bears,Ryan Wetnight 8 yard pass from Dave Krieg (Jeff Jaeger kick),14,24
6,4.0,,Bears,Jeff Jaeger 40 yard field goal,14,27
