,Quarter,Tm,Detail,NYG,BOS
0,1,Giants,Merle Hapes 3 yard rush (Ken Strong kick),7,0
1,2,Giants,Ken Strong 36 yard field goal,10,0
2,4,Giants,Merle Hapes 8 yard rush (Ken Strong kick),17,0
