,Quarter,Time,Tm,Detail,NWE,BUF
0,1.0,,Bills,Steve Christie 23 yard field goal,0,3
1,1.0,5:40,Patriots,Derrick Cullors 86 yard kickoff return (Adam Vinatieri kick),7,3
2,2.0,5:40,Patriots,Adam Vinatieri 42 yard field goal,10,3
3,2.0,5:40,Patriots,Ben Coates 6 yard pass from Drew Bledsoe (Adam Vinatieri kick),17,3
4,3.0,5:40,Patriots,Chris Slade 1 yard interception return (Adam Vinatieri kick),24,3
5,3.0,5:40,Bills,Antowain Smith 1 yard rush (Steve Christie kick),24,10
6,4.0,5:40,Patriots,Curtis Martin 1 yard rush (Adam Vinatieri kick),31,10
