,Quarter,Time,Tm,Detail,IND,SDG
0,1.0,,Chargers,John Carney 54 yard field goal,0,3
1,2.0,,Colts,Ken Dilger 2 yard pass from Jim Harbaugh (Cary Blanchard kick),7,3
2,2.0,,Chargers,Alfred Pupunu 6 yard pass from Stan Humphries (John Carney kick),7,10
3,2.0,,Colts,Zack Crockett 33 yard rush (Cary Blanchard kick),14,10
4,3.0,,Chargers,Shawn Jefferson 11 yard pass from Stan Humphries (John Carney kick),14,17
5,3.0,,Colts,Sean Dawkins 42 yard pass from Jim Harbaugh (Cary Blanchard kick),21,17
6,4.0,,Chargers,John Carney 30 yard field goal,21,20
7,4.0,,Colts,Zack Crockett 66 yard rush (Cary Blanchard kick),28,20
8,4.0,,Colts,Jim Harbaugh 3 yard rush (Cary Blanchard kick),35,20
