,Quarter,Tm,Detail,DET,BAL
0,1.0,Colts,Lenny Moore 8 yard rush (Steve Myhra kick),0,7
1,2.0,Lions,Jim Martin 31 yard field goal,3,7
2,2.0,Lions,Howard Cassady 11 yard pass from Bobby Layne,9,7
3,2.0,Colts,Raymond Berry 26 yard pass from Johnny Unitas (Steve Myhra kick),9,14
4,3.0,Lions,Howard Cassady 30 yard pass from Tobin Rote,15,14
5,4.0,Colts,Raymond Berry 14 yard pass from Johnny Unitas (Steve Myhra kick),15,21
6,4.0,Colts,L.G. Dupre 13 yard rush (Steve Myhra kick),15,28
