,Quarter,Tm,Detail,GNB,MIA
0,2.0,Dolphins,Duriel Harris 37 yard pass from Bob Griese (Uwe von Schamann kick),0,7
1,2.0,Dolphins,Uwe von Schamann 26 yard field goal,0,10
2,2.0,Dolphins,Uwe von Schamann 36 yard field goal,0,13
3,3.0,Dolphins,Larry Csonka 7 yard rush (Uwe von Schamann kick),0,20
4,3.0,Packers,Paul Coffman 78 yard pass from David Whitehurst (Chester Marcol kick),7,20
5,3.0,Dolphins,Norm Bulaich 1 yard rush (Uwe von Schamann kick),7,27
