,Quarter,Tm,Detail,DET,PIT
0,1.0,Lions,Doak Walker 16 yard field goal,3,0
1,2.0,Lions,Jug Girard 1 yard rush (Doak Walker kick),10,0
2,3.0,Lions,Cloyce Box 46 yard pass from Bobby Layne (Doak Walker kick),17,0
3,3.0,Steelers,Fran Rogel 3 yard rush,17,6
4,4.0,Lions,Jug Girard 31 yard rush (Doak Walker kick),24,6
5,4.0,Lions,Byron Bailey 9 yard rush (Bobby Layne kick),31,6
