,Quarter,Time,Tm,Detail,STL,SFO
0,1.0,,Rams,Ricky Proehl 5 yard pass from Steve Bono (Jeff Wilkins kick),7,0
1,1.0,,49ers,Wade Richey 20 yard field goal,7,3
2,2.0,,49ers,Jerry Rice 4 yard pass from Steve Young (Wade Richey kick),7,10
3,3.0,,49ers,Wade Richey 26 yard field goal,7,13
4,3.0,,49ers,R.W. McQuarters 72 yard punt return (Greg Clark pass from Steve Young),7,21
5,3.0,,49ers,Steve Young 16 yard rush (Wade Richey kick),7,28
6,4.0,,Rams,Amp Lee 25 yard pass from Steve Bono,13,28
7,4.0,,49ers,Wade Richey 44 yard field goal,13,31
8,4.0,,Rams,Ricky Proehl 17 yard pass from Steve Bono (pass failed),19,31
9,4.0,,49ers,Terrell Owens 24 yard pass from Steve Young (Wade Richey kick),19,38
