,Quarter,Tm,Detail,WAS,RAM
0,1.0,Rams,Tony Zendejas 41 yard field goal,0,3
1,1.0,Redskins,Terry Orr 47 yard pass from Mark Rypien (Chip Lohmiller kick),7,3
2,2.0,Rams,Tony Zendejas 34 yard field goal,7,6
3,3.0,Redskins,Ricky Sanders 30 yard pass from Mark Rypien (Chip Lohmiller kick),14,6
4,3.0,Redskins,Ricky Ervins 24 yard pass from Mark Rypien (Chip Lohmiller kick),21,6
5,4.0,Redskins,Chip Lohmiller 35 yard field goal,24,6
6,4.0,Redskins,Chip Lohmiller 35 yard field goal,27,6
