,Quarter,Tm,Detail,HOU,NWE
0,1.0,Patriots,Hubie Bryant 10 yard pass from Jim Plunkett (Charlie Gogolak kick),0,7
1,2.0,Oilers,Mark Moseley 25 yard field goal,3,7
2,2.0,Patriots,Jack Maitland 2 yard rush (Charlie Gogolak kick),3,14
3,2.0,Oilers,Mark Moseley 41 yard field goal,6,14
4,3.0,Oilers,Charlie Joiner 28 yard pass from Dan Pastorini (Mark Moseley kick),13,14
5,4.0,Oilers,Dan Pastorini 1 yard rush (Mark Moseley kick),20,14
6,4.0,Patriots,Jim Nance 4 yard rush (Charlie Gogolak kick),20,21
7,4.0,Patriots,Carl Garrett 2 yard rush (Charlie Gogolak kick),20,28
