,Quarter,Time,Tm,Detail,CLE,NOR
0,1.0,11:09,Saints,John Carney 33 yard field goal,0,3
1,1.0,3:30,Browns,William Green 1 yard rush (Phil Dawson kick),7,3
2,2.0,14:06,Saints,John Carney 27 yard field goal,7,6
3,2.0,3:50,Browns,Dennis Northcutt 36 yard rush (Phil Dawson kick),14,6
4,3.0,8:18,Saints,James Fenderson 17 yard rush (pass failed),14,12
5,3.0,4:44,Browns,Kevin Johnson 24 yard pass from Tim Couch (Phil Dawson kick),21,12
6,4.0,10:14,Saints,John Carney 48 yard field goal,21,15
7,4.0,3:25,Browns,Phil Dawson 28 yard field goal,24,15
