,Quarter,Time,Tm,Detail,BAL,CLE
0,1.0,11:27,Browns,James Jackson 11 yard rush (Phil Dawson kick),0,7
1,2.0,5:11,Ravens,Matt Stover 21 yard field goal,3,7
2,2.0,1:45,Browns,Phil Dawson 33 yard field goal,3,10
3,2.0,0:05,Ravens,Matt Stover 38 yard field goal,6,10
4,3.0,7:16,Browns,Kevin Johnson 28 yard pass from Tim Couch (Phil Dawson kick),6,17
5,3.0,5:20,Browns,Quincy Morgan 36 yard pass from Tim Couch (Phil Dawson kick),6,24
6,4.0,7:08,Ravens,Qadry Ismail 22 yard pass from Randall Cunningham (Qadry Ismail pass from Randall Cunningham),14,24
