,Quarter,Tm,Detail,WAS,RAI
0,1.0,Raiders,Mervyn Fernandez 18 yard pass from Steve Beuerlein (Jeff Jaeger kick),0,7
1,1.0,Raiders,Mervyn Fernandez 8 yard pass from Steve Beuerlein (Jeff Jaeger kick),0,14
2,1.0,Redskins,Joe Johnson 99 yard kickoff return (Chip Lohmiller kick),7,14
3,2.0,Raiders,Jeff Jaeger 26 yard field goal,7,17
4,2.0,Redskins,Chip Lohmiller 43 yard field goal,10,17
5,3.0,Raiders,Bo Jackson 73 yard rush (Jeff Jaeger kick),10,24
6,3.0,Raiders,Jeff Jaeger 29 yard field goal,10,27
7,3.0,Raiders,Jeff Jaeger 37 yard field goal,10,30
8,3.0,Raiders,Eddie Anderson 45 yard interception return (Jeff Jaeger kick),10,37
9,3.0,Redskins,Gary Clark 27 yard pass from Mark Rypien (Chip Lohmiller kick),17,37
10,4.0,Redskins,Ricky Sanders 14 yard pass from Stan Humphries (Chip Lohmiller kick),24,37
