,Quarter,Tm,Detail,NYJ,DET
0,1.0,Lions,Eddie Murray 31 yard field goal,0,3
1,1.0,Jets,Dwayne Crutchfield 1 yard rush (Pat Leahy kick),7,3
2,2.0,Jets,Wesley Walker 56 yard pass from Richard Todd (Pat Leahy kick),14,3
3,2.0,Jets,Wesley Walker 41 yard pass from Richard Todd (Pat Leahy kick),21,3
4,3.0,Lions,Mark Nichols 48 yard pass from Gary Danielson (Eddie Murray kick),21,10
5,4.0,Lions,Eddie Murray 22 yard field goal,21,13
6,4.0,Jets,Wesley Walker 19 yard pass from Richard Todd (Pat Leahy kick),28,13
