,Quarter,Time,Tm,Detail,CAR,NOR
0,2.0,14:55,Saints,Lance Moore 4 yard pass from Drew Brees (John Carney kick),0,7
1,2.0,12:15,Panthers,Jonathan Stewart 55 yard pass from Jimmy Clausen (John Kasay kick),7,7
2,2.0,1:13,Saints,John Carney 32 yard field goal,7,10
3,3.0,9:42,Panthers,DeAngelo Williams 39 yard rush (John Kasay kick),14,10
4,3.0,4:36,Saints,John Carney 32 yard field goal,14,13
5,4.0,3:55,Saints,John Carney 25 yard field goal,14,16
