,Quarter,Tm,Detail,PHI,DET
0,1,Eagles,Sam Baker 36 yard field goal,3,0
1,2,Eagles,Sam Baker 18 yard field goal,6,0
2,3,Eagles,Sam Baker 32 yard field goal,9,0
3,4,Eagles,Sam Baker 35 yard field goal,12,0
